name;geom
ahn2_02hz1_24;polygon((213000.0 600000.0, 214000.0 600000.0, 214000.0 601250.0, 213000.0 601250.0, 213000.0 600000.0))
ahn2_02hz1_25;polygon((214000.0 600000.0, 215000.0 600000.0, 215000.0 601250.0, 214000.0 601250.0, 214000.0 600000.0))
ahn2_02hz2_10;polygon((219590.43 603750.0, 219642.62 603750.0, 219642.62 603764.82, 219590.43 603764.82, 219590.43 603750.0))
ahn2_02hz2_11;polygon((215000.0 602500.0, 216000.0 602500.0, 216000.0 603750.0, 215000.0 603750.0, 215000.0 602500.0))
ahn2_02hz2_12;polygon((216000.0 602500.0, 216970.71 602500.0, 216970.71 603416.87, 216000.0 603416.87, 216000.0 602500.0))
ahn2_02hz2_13;polygon((217171.63 602500.0, 218000.0 602500.0, 218000.0 602813.56, 217171.63 602813.56, 217171.63 602500.0))
ahn2_02hz2_14;polygon((218000.0 602500.0, 219000.0 602500.0, 219000.0 603287.84, 218000.0 603287.84, 218000.0 602500.0))
ahn2_02hz2_15;polygon((219000.0 602500.0, 220000.0 602500.0, 220000.0 603749.99, 219000.0 603749.99, 219000.0 602500.0))
ahn2_02hz2_16;polygon((215000.0 601250.0, 216000.0 601250.0, 216000.0 602500.0, 215000.0 602500.0, 215000.0 601250.0))
ahn2_02hz2_17;polygon((216000.0 601250.0, 217000.0 601250.0, 217000.0 602500.0, 216000.0 602500.0, 216000.0 601250.0))
ahn2_02hz2_18;polygon((217000.0 601250.0, 218000.0 601250.0, 218000.0 602500.0, 217000.0 602500.0, 217000.0 601250.0))
ahn2_02hz2_19;polygon((218000.0 601250.0, 219000.0 601250.0, 219000.0 602500.0, 218000.0 602500.0, 218000.0 601250.0))
ahn2_02hz2_20;polygon((219000.0 601250.0, 220000.0 601250.0, 220000.0 602500.0, 219000.0 602500.0, 219000.0 601250.0))
ahn2_02hz2_21;polygon((215000.0 600000.0, 216000.0 600000.0, 216000.0 601250.0, 215000.0 601250.0, 215000.0 600000.0))
ahn2_02hz2_22;polygon((216000.0 600000.0, 217000.0 600000.0, 217000.0 601250.0, 216000.0 601250.0, 216000.0 600000.0))
ahn2_02hz2_23;polygon((217000.0 600000.0, 218000.0 600000.0, 218000.0 601250.0, 217000.0 601250.0, 217000.0 600000.0))
ahn2_02hz2_24;polygon((218000.0 600000.0, 219000.0 600000.0, 219000.0 601250.0, 218000.0 601250.0, 218000.0 600000.0))
ahn2_02hz2_25;polygon((219000.0 600000.0, 220000.0 600000.0, 220000.0 601250.0, 219000.0 601250.0, 219000.0 600000.0))
