name;geom
ahn2_06hn1_25;polygon((214000.01 581250.0, 214999.99 581250.0, 214999.99 582500.0, 214000.01 582500.0, 214000.01 581250.0))
ahn2_06hn2_01;polygon((215000.01 586250.0, 215999.99 586250.0, 215999.99 587500.0, 215000.01 587500.0, 215000.01 586250.0))
ahn2_06hn2_02;polygon((216000.01 586250.0, 216999.99 586250.0, 216999.99 587500.0, 216000.01 587500.0, 216000.01 586250.0))
ahn2_06hn2_03;polygon((217000.0 586250.0, 218000.0 586250.0, 218000.0 587500.0, 217000.0 587500.0, 217000.0 586250.0))
ahn2_06hn2_04;polygon((218000.0 586250.0, 219000.0 586250.0, 219000.0 587500.0, 218000.0 587500.0, 218000.0 586250.0))
ahn2_06hn2_05;polygon((219000.0 586250.0, 220000.0 586250.0, 220000.0 587500.0, 219000.0 587500.0, 219000.0 586250.0))
ahn2_06hn2_06;polygon((215000.01 585000.01, 215999.99 585000.01, 215999.99 586249.99, 215000.01 586249.99, 215000.01 585000.01))
ahn2_06hn2_07;polygon((216000.01 585000.01, 216999.99 585000.01, 216999.99 586249.99, 216000.01 586249.99, 216000.01 585000.01))
ahn2_06hn2_08;polygon((217000.0 585000.0, 218000.0 585000.0, 218000.0 586250.0, 217000.0 586250.0, 217000.0 585000.0))
ahn2_06hn2_09;polygon((218000.0 585000.0, 219000.0 585000.0, 219000.0 586250.0, 218000.0 586250.0, 218000.0 585000.0))
ahn2_06hn2_10;polygon((219000.0 585000.0, 220000.0 585000.0, 220000.0 586250.0, 219000.0 586250.0, 219000.0 585000.0))
ahn2_06hn2_11;polygon((215000.01 583750.0, 215999.99 583750.0, 215999.99 585000.0, 215000.01 585000.0, 215000.01 583750.0))
ahn2_06hn2_12;polygon((216000.01 583750.0, 216999.99 583750.0, 216999.99 585000.0, 216000.01 585000.0, 216000.01 583750.0))
ahn2_06hn2_13;polygon((217000.0 583750.0, 218000.0 583750.0, 218000.0 585000.0, 217000.0 585000.0, 217000.0 583750.0))
ahn2_06hn2_14;polygon((218000.0 583750.0, 219000.0 583750.0, 219000.0 585000.0, 218000.0 585000.0, 218000.0 583750.0))
ahn2_06hn2_15;polygon((219000.0 583750.0, 220000.0 583750.0, 220000.0 585000.0, 219000.0 585000.0, 219000.0 583750.0))
ahn2_06hn2_16;polygon((215000.0 582500.0, 216000.0 582500.0, 216000.0 583750.0, 215000.0 583750.0, 215000.0 582500.0))
ahn2_06hn2_17;polygon((216000.0 582500.0, 217000.0 582500.0, 217000.0 583750.0, 216000.0 583750.0, 216000.0 582500.0))
ahn2_06hn2_18;polygon((217000.0 582500.0, 218000.0 582500.0, 218000.0 583750.0, 217000.0 583750.0, 217000.0 582500.0))
ahn2_06hn2_19;polygon((218000.0 582500.0, 219000.0 582500.0, 219000.0 583750.0, 218000.0 583750.0, 218000.0 582500.0))
ahn2_06hn2_20;polygon((219000.0 582500.0, 220000.0 582500.0, 220000.0 583750.0, 219000.0 583750.0, 219000.0 582500.0))
ahn2_06hn2_21;polygon((215000.01 581250.0, 215999.99 581250.0, 215999.99 582500.0, 215000.01 582500.0, 215000.01 581250.0))
ahn2_06hn2_22;polygon((216000.01 581250.0, 216999.99 581250.0, 216999.99 582500.0, 216000.01 582500.0, 216000.01 581250.0))
ahn2_06hn2_23;polygon((217000.01 581250.0, 217999.99 581250.0, 217999.99 582500.0, 217000.01 582500.0, 217000.01 581250.0))
ahn2_06hn2_24;polygon((218000.0 581250.0, 219000.0 581250.0, 219000.0 582500.0, 218000.0 582500.0, 218000.0 581250.0))
ahn2_06hn2_25;polygon((219000.0 581250.0, 220000.0 581250.0, 220000.0 582500.0, 219000.0 582500.0, 219000.0 581250.0))
ahn2_06fz1_12;polygon((211000.0 590000.0, 212000.0 590000.0, 212000.0 591250.0, 211000.0 591250.0, 211000.0 590000.0))
ahn2_06fz1_13;polygon((212000.0 590000.0, 213000.0 590000.0, 213000.0 591250.0, 212000.0 591250.0, 212000.0 590000.0))
ahn2_06fz1_14;polygon((213000.0 590000.0, 214000.0 590000.0, 214000.0 591250.0, 213000.0 591250.0, 213000.0 590000.0))
ahn2_06fz1_15;polygon((214000.01 590000.0, 214999.99 590000.0, 214999.99 591250.0, 214000.01 591250.0, 214000.01 590000.0))
